system,observable,snr_db,trial,tau,dim,lyap_max,kse_ub,lyap_spec,rmse
lorenz63_xhighsnr,log1p_z,1000.0,0,20,7,0.117196686565876,0.1642314046621322,0.1172;0.0470;-0.0218;-0.1072,5.409839687326695
lorenz63_xhighsnr,log1p_z,1000.0,1,20,7,0.117196686565876,0.1642314046621322,0.1172;0.0470;-0.0218;-0.1072,5.290501762152892
lorenz63_xhighsnr,log1p_z,1000.0,2,20,7,0.117196686565876,0.1642314046621322,0.1172;0.0470;-0.0218;-0.1072,5.087307024225856
lorenz63_xhighsnr,log1p_z,100.0,0,20,7,0.0397646129131317,0.0397646129131317,0.0398;-0.0011;-0.1005;-0.3258,5.188079412720992
lorenz63_xhighsnr,log1p_z,100.0,1,20,7,0.0392760634422302,0.0395487025380134,0.0393;0.0003;-0.1005;-0.3271,5.110598654642826
lorenz63_xhighsnr,log1p_z,100.0,2,20,7,0.0401192903518676,0.0401192903518676,0.0401;-0.0011;-0.1016;-0.3213,5.056004758727533
lorenz63_xhighsnr,x_plus_y,1000.0,0,50,7,0.0373815484344959,0.0485837273299694,0.0374;0.0112;-0.0783;-0.1431,5.686476835610155
lorenz63_xhighsnr,x_plus_y,1000.0,1,50,7,0.0373815484344959,0.0485837273299694,0.0374;0.0112;-0.0783;-0.1431,5.107693406460608
lorenz63_xhighsnr,x_plus_y,1000.0,2,50,7,0.0373815484344959,0.0485837273299694,0.0374;0.0112;-0.0783;-0.1431,5.229638678547479
lorenz63_xhighsnr,x_plus_y,100.0,0,50,7,0.0352668240666389,0.0352668240666389,0.0353;-0.0027;-0.1306;-0.3365,5.5969483691988
lorenz63_xhighsnr,x_plus_y,100.0,1,50,7,0.0359881483018398,0.0359881483018398,0.0360;-0.0029;-0.1309;-0.3313,4.896712699218073
lorenz63_xhighsnr,x_plus_y,100.0,2,50,7,0.0346075855195522,0.0346075855195522,0.0346;-0.0021;-0.1280;-0.3282,4.867775529124088
lorenz63_xhighsnr,radial,1000.0,0,20,7,0.0883196741342544,0.1299695819616317,0.0883;0.0416;-0.0430;-0.1467,5.431172277494015
lorenz63_xhighsnr,radial,1000.0,1,20,7,0.0883196741342544,0.1299695819616317,0.0883;0.0416;-0.0430;-0.1467,5.142637542270986
lorenz63_xhighsnr,radial,1000.0,2,20,7,0.0883196741342544,0.1299695819616317,0.0883;0.0416;-0.0430;-0.1467,5.257695449685969
lorenz63_xhighsnr,radial,100.0,0,20,7,0.0356121584773063,0.0356121584773063,0.0356;-0.0125;-0.1325;-0.3047,5.36578654534314
lorenz63_xhighsnr,radial,100.0,1,20,7,0.0365419127047061,0.0365419127047061,0.0365;-0.0138;-0.1290;-0.2969,5.436132533349017
lorenz63_xhighsnr,radial,100.0,2,20,7,0.035527154803276,0.035527154803276,0.0355;-0.0117;-0.1320;-0.2927,5.429300772233655
lorenz63_xhighsnr,x_times_y,1000.0,0,20,7,0.0611854158341884,0.0875697284936904,0.0612;0.0264;-0.0847;-0.1485,5.94144229139813
lorenz63_xhighsnr,x_times_y,1000.0,1,20,7,0.0611854158341884,0.0875697284936904,0.0612;0.0264;-0.0847;-0.1485,5.88152511855506
lorenz63_xhighsnr,x_times_y,1000.0,2,20,7,0.0611854158341884,0.0875697284936904,0.0612;0.0264;-0.0847;-0.1485,5.883993055670148
lorenz63_xhighsnr,x_times_y,100.0,0,20,7,0.0620158724486827,0.0645212829113006,0.0620;0.0025;-0.1273;-0.3972,5.884655500580131
lorenz63_xhighsnr,x_times_y,100.0,1,20,7,0.0638795271515846,0.0651227608323097,0.0639;0.0012;-0.1218;-0.3949,5.954096361384835
lorenz63_xhighsnr,x_times_y,100.0,2,20,7,0.0628854259848594,0.0628854259848594,0.0629;-0.0001;-0.1217;-0.3945,5.909350736532858
lorenz63_xhighsnr,x_int_w100,1000.0,0,130,7,0.0669415518641471,0.0786711350083351,0.0669;0.0117;-0.0304;-0.1373,7.87250861553287
lorenz63_xhighsnr,x_int_w100,1000.0,1,130,7,0.0669415518641471,0.0786711350083351,0.0669;0.0117;-0.0304;-0.1373,7.468229367637664
lorenz63_xhighsnr,x_int_w100,1000.0,2,130,7,0.0669415518641471,0.0786711350083351,0.0669;0.0117;-0.0304;-0.1373,7.440047036494301
lorenz63_xhighsnr,x_int_w100,100.0,0,130,7,0.052511066198349,0.052511066198349,0.0525;-0.0104;-0.1010;-0.3346,7.883673125043785
lorenz63_xhighsnr,x_int_w100,100.0,1,130,7,0.0521595999598503,0.0521595999598503,0.0522;-0.0091;-0.1033;-0.3289,7.079949342386951
lorenz63_xhighsnr,x_int_w100,100.0,2,130,7,0.0518243573606014,0.0518243573606014,0.0518;-0.0098;-0.1031;-0.3263,8.453386462902174
lorenz63_xhighsnr,x_int_w1000,1000.0,0,137,7,0.074006900191307,0.093326948583126,0.0740;0.0193;-0.0302;-0.1255,
lorenz63_xhighsnr,x_int_w1000,1000.0,1,137,7,0.074006900191307,0.093326948583126,0.0740;0.0193;-0.0302;-0.1255,
lorenz63_xhighsnr,x_int_w1000,1000.0,2,137,7,0.074006900191307,0.093326948583126,0.0740;0.0193;-0.0302;-0.1255,
lorenz63_xhighsnr,x_int_w1000,100.0,0,137,7,0.0646601915359497,0.0646601915359497,0.0647;-0.0005;-0.0729;-0.3333,
lorenz63_xhighsnr,x_int_w1000,100.0,1,137,7,0.0677931681275367,0.0677931681275367,0.0678;-0.0008;-0.0761;-0.3401,
lorenz63_xhighsnr,x_int_w1000,100.0,2,137,7,0.0663864761590957,0.0663864761590957,0.0664;-0.0013;-0.0770;-0.3292,
lorenz63_xhighsnr,z_int_w100,1000.0,0,40,7,0.0927573591470718,0.1275784373283386,0.0928;0.0348;-0.0324;-0.1595,7.069776688196171
lorenz63_xhighsnr,z_int_w100,1000.0,1,40,7,0.0927573591470718,0.1275784373283386,0.0928;0.0348;-0.0324;-0.1595,79.75065078894698
lorenz63_xhighsnr,z_int_w100,1000.0,2,40,7,0.0927573591470718,0.1275784373283386,0.0928;0.0348;-0.0324;-0.1595,28.548978285193172
lorenz63_xhighsnr,z_int_w100,100.0,0,40,7,0.0818883627653122,0.0967011675238609,0.0819;0.0148;-0.0549;-0.3196,7.108989752381754
lorenz63_xhighsnr,z_int_w100,100.0,1,40,7,0.0823471322655677,0.0968013703823089,0.0823;0.0145;-0.0553;-0.3139,24.274336120466195
lorenz63_xhighsnr,z_int_w100,100.0,2,40,7,0.0807409882545471,0.0960266962647438,0.0807;0.0153;-0.0547;-0.3153,10.15065738093995
lorenz63_dense_J2,x,28.0,0,50,7,0.1373174041509628,0.1573121845722198,0.1373;0.0200;-0.1073;-0.3336,5.49828656120851
lorenz63_dense_J2,x,28.0,1,50,7,0.1391552537679672,0.1578869074583053,0.1392;0.0187;-0.1009;-0.3346,5.504393605137837
lorenz63_dense_J2,x,28.0,2,50,7,0.1344048231840133,0.155405193567276,0.1344;0.0210;-0.1024;-0.3370,5.4486551088611925
lorenz63_dense_J2,x,23.0,0,50,7,0.1541088968515396,0.1899314820766449,0.1541;0.0358;-0.0941;-0.3357,5.437105807288818
lorenz63_dense_J2,x,23.0,1,50,7,0.1557882726192474,0.1873466521501541,0.1558;0.0316;-0.0941;-0.3414,5.292303987564485
lorenz63_dense_J2,x,23.0,2,50,7,0.151546373963356,0.187334269285202,0.1515;0.0358;-0.0919;-0.3472,4.9908964486437455
lorenz63_dense_J2,x,18.0,0,50,7,0.1740455627441406,0.2141091525554657,0.1740;0.0401;-0.0882;-0.3396,5.754858537252978
lorenz63_dense_J2,x,18.0,1,50,7,0.1727670282125473,0.2173808813095092,0.1728;0.0446;-0.0863;-0.3276,5.028721732505516
lorenz63_dense_J2,x,18.0,2,50,7,0.1707164347171783,0.2156455814838409,0.1707;0.0449;-0.0907;-0.3333,5.298724293310378
lorenz63_dense_J2,x,13.0,0,50,7,0.1901388466358184,0.2443558126688003,0.1901;0.0542;-0.0850;-0.3418,5.531306384440889
lorenz63_dense_J2,x,13.0,1,50,7,0.1863436251878738,0.2412527501583099,0.1863;0.0549;-0.0782;-0.3342,5.34536893434761
lorenz63_dense_J2,x,13.0,2,50,7,0.1887436807155609,0.2445001602172851,0.1887;0.0558;-0.0831;-0.3309,5.480510081142514
lorenz63_dense_J2,x,7.0,0,40,7,0.200435608625412,0.2636993527412414,0.2004;0.0633;-0.0780;-0.3347,6.060748198640296
lorenz63_dense_J2,x,7.0,1,40,7,0.1997514814138412,0.2595145106315613,0.1998;0.0598;-0.0749;-0.3292,5.757974152847484
lorenz63_dense_J2,x,7.0,2,50,7,0.200254887342453,0.2627105712890625,0.2003;0.0625;-0.0751;-0.3330,5.67546540005816
lorenz63_dense_J2,y,28.0,0,40,7,0.1394985020160675,0.1650103777647018,0.1395;0.0255;-0.1024;-0.3359,5.500426744655612
lorenz63_dense_J2,y,28.0,1,40,7,0.1426137238740921,0.1652991324663162,0.1426;0.0227;-0.1032;-0.3285,5.38447917519485
lorenz63_dense_J2,y,28.0,2,40,7,0.1395617723464965,0.1613871157169342,0.1396;0.0218;-0.1017;-0.3335,5.166292464189093
